Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError
Mya-16,Aragonite,Biogenic,3,0.618,0.004050362,11.8,0.14
Mya-3.5,Aragonite,Biogenic,2,0.615,0.0227,12.89,0.08
Mya-8.5,Aragonite,Biogenic,3,0.637,0.012376039,12.42,0.2
Mytilus-12,Calcite,Biogenic,2,0.649,0.019265,12.13,0.04
Mytilus-15,Calcite,Biogenic,4,0.634,0.004956149,11.88,0.04
Mytilus-4,Calcite,Biogenic,5,0.62,0.007852922,12.83,0.05
Mytilus-8,Calcite,Biogenic,4,0.609,0.007614406,12.47,0.05
P105,Aragonite,Biogenic,3,0.611,0.005926348,11.48,0.08
P110,Aragonite,Biogenic,3,0.664,0.010779306,11.48,0.08
P132,Aragonite,Biogenic,3,0.629,0.006438362,11.14,0.04
P52,Aragonite,Biogenic,3,0.671,0.000898016,11.14,0.04
P8-30,Aragonite,Biogenic,3,0.686,0.003532734,11.14,0.04
P95,Aragonite,Biogenic,3,0.673,0.006827183,11.48,0.08
Pp-1,Aragonite,Biogenic,3,0.608,0.000946262,10.77,0.22
Pp-2,Aragonite,Biogenic,3,0.679,0.01374225,10.77,0.22
Pp-3,Aragonite,Biogenic,6,0.653,0.008059193,10.77,0.22
RBJ-1-3,Calcite,Biogenic,3,0.622,0.005223958,10.92,0.07
WG061278,Aragonite,Biogenic,3,0.608,0.01232698,12.77,0.19
Dwyvillei,Calcite,Biogenic,27,0.658,0.003275366,12.3,0.09
Ghirsuta,Calcite,Biogenic,2,0.658,0.006115,12.39,0.09
Spondylussp,Calcite,Biogenic,10,0.604,0.005998344,10.81,0.07
Coldseepcc,Calcite,Natural,6,0.67,0.006103851,12.39,0.01
Ostricheggshell,Calcite,Biogenic,15,0.593,0.005291287,10.2,0.04
Gruber,Calcite,Biogenic,2,0.609,0.014415,11.03,0.08
Ginflata,Calcite,Biogenic,2,0.641,0.003875,11.96,0.08
CIS006-Epacifica,Aragonite,Biogenic,7,0.642,0.011929176,12.65,0.09
CIS020-Pp,Aragonite,Biogenic,7,0.594,0.003766128,11.1,0.23
CIS004-PDalli,Calcite,Biogenic,5,0.65,0.004417387,12.56,0.09
CIS022-Calbidus,Aragonite,Biogenic,2,0.628,0.01134,11.57,0.45
CIS023-Pcanal,Calcite,Biogenic,2,0.629,0.00029,11.92,0.26
CIS025-Marenaria,Aragonite,Biogenic,2,0.641,0.01158,12.21,0.24
Ehux15,Calcite,Biogenic,3,0.642,0.002900818,11.88,0.02
Ehux25,Calcite,Biogenic,3,0.622,0.004842648,11.1,0.02
Ehux20,Calcite,Biogenic,5,0.632,0.003808009,11.48,0.02
Ehux7,Calcite,Biogenic,2,0.669,0.003425,12.56,0.02
Cpel20,Calcite,Biogenic,3,0.644,0.003651467,11.48,0.02
Cpel10,Calcite,Biogenic,4,0.668,0.00499563,12.3,0.02
Clept20,Calcite,Biogenic,5,0.64,0.003896081,11.48,0.02
Ehux10,Calcite,Biogenic,3,0.661,0.010122422,12.3,0.02
Cpel15,Calcite,Biogenic,5,0.656,0.005714489,11.88,0.02
Clept15,Calcite,Biogenic,3,0.654,0.008830591,11.88,0.02
Clept10,Calcite,Biogenic,3,0.665,0.004205553,12.3,0.02
T86-08B,Calcite,Biogenic,10,0.635,0.008317322,11.88,0.43
GCP-1,Calcite,Natural,21,0.58,0.008343916,11.14,0.08
WIND_10B,Calcite,Biogenic,9,0.624,0.006335299,11.25,0.39
MCP-1,Calcite,Natural,22,0.607,0.007037702,11.59,0.16
SHAK4-3MA,Calcite,Biogenic,7,0.604,0.008947557,11.61,0.41
T90-04B,Calcite,Biogenic,7,0.641,0.007993848,12.13,0.44
SHAK7-6ME,Calcite,Biogenic,7,0.611,0.006992786,11.76,0.42
T86-10B,Calcite,Biogenic,11,0.6,0.015195181,11.61,0.41
T90-08B,Calcite,Biogenic,7,0.617,0.010543934,12.21,0.45
BSP-1,Calcite,Natural,21,0.632,0.006108866,12.39,0.04
T90-03B,Calcite,Biogenic,8,0.633,0.018568327,12.19,0.45
T88-07B,Calcite,Biogenic,8,0.611,0.005509326,12.13,0.44
DSP-1,Calcite,Natural,11,0.676,0.009068112,12.91,0.08
OWB-1,Calcite,Natural,21,0.651,0.008379528,12.38,0.09
BOFS30K,Calcite,Biogenic,11,0.621,0.012359185,11.77,0.42
BOFS30K,Calcite,Biogenic,7,0.605,0.013477399,11.48,0.41
BOFS30K,Calcite,Biogenic,7,0.615,0.014290072,11.77,0.42
MD77191,Calcite,Biogenic,9,0.619,0.007606709,11.72,0.42
IODP1436,Calcite,Biogenic,10,0.611,0.009044241,11.59,0.41
T90-01B,Calcite,Biogenic,9,0.618,0.007370185,12.15,0.44
T88-07B,Calcite,Biogenic,9,0.626,0.004605197,12.13,0.44
MD012414,Calcite,Biogenic,7,0.658,0.011440052,12.97,0.49
LOMROG_2009_PC-09,Calcite,Biogenic,12,0.671,0.007879128,13.32,0.51
NAICA1,Aragonite,Natural,17,0.541,0.008471624,9.64,0.09
